t1time,t1concentration,t1saturation,t1temp,t2time,t2concentration,t2saturation,t2temp,t3time,t3concentration,t3saturation,t3temp,t4time,t4concentration,t4saturation,t4temp,t5time,t5concentration,t5saturation,t5temp,t6time,t6concentration,t6saturation,t6temp,t7time,t7concentration,t7saturation,t7temp
1050,5.22,59.9,22.4,1146,6.41,73.6,22.4,948,6.35,73,22.4,1042,3.8,43.3,22.1,,,,,,,,,856,6.27,71.9,22.3
1052,5.2,59.6,22.4,1148,6.43,73.9,22.4,950,6.37,73.2,22.4,1043,3.82,43.6,22,,,,,,,,,858,6.3,72.3,22.3
1054,5.19,59.5,22.4,1150,6.45,74.1,22.4,952,6.39,73.5,22.4,1044,3.85,43.9,22,,,,,,,,,860,6.32,72.5,22.3
1056,5.2,59.7,22.4,1152,6.48,74.4,22.4,954,6.41,73.7,22.4,1045,3.87,44.2,22,,,,,,,,,862,6.33,72.7,22.3
1058,5.23,60,22.4,1154,6.49,74.6,22.4,956,6.41,73.7,22.4,1046,3.89,44.4,22,,,,,,,,,864,6.35,72.8,22.3
1060,5.26,60.4,22.4,1156,6.51,74.8,22.4,958,6.41,73.7,22.5,1047,3.91,44.6,22,,,,,,,,,866,6.36,73,22.3
1062,5.3,60.8,22.4,1158,6.53,75,22.4,960,6.43,73.9,22.5,1048,3.93,44.9,22,,,,,,,,,868,6.38,73.3,22.3
1064,5.33,61.2,22.4,,,,,962,6.47,74.4,22.4,1049,3.95,45.1,22.1,,,,,,,,,870,6.4,73.5,22.3
1066,5.37,61.7,22.4,,,,,,,,,1050,3.97,45.3,22.1,,,,,,,,,872,6.42,73.7,22.3
1068,5.42,62.2,22.4,,,,,,,,,1051,3.99,45.5,22.1,,,,,,,,,874,6.44,73.9,22.3
1070,5.45,62.6,22.4,,,,,,,,,1052,4.01,45.8,22.1,,,,,,,,,876,6.46,74.1,22.3
1072,5.47,62.8,22.4,,,,,,,,,1053,4.03,46,22.1,,,,,,,,,878,6.47,74.3,22.3
1074,5.48,62.9,22.4,,,,,,,,,1054,4.05,46.2,22,,,,,,,,,880,6.48,74.4,22.3
1076,5.51,63.2,22.4,,,,,,,,,1055,4.07,46.5,22,,,,,,,,,882,6.51,74.7,22.3
1078,5.53,63.5,22.4,,,,,,,,,1056,4.09,46.7,22,,,,,,,,,884,6.54,75.1,22.3
1080,5.55,63.7,22.4,,,,,,,,,1057,4.12,47,22,,,,,,,,,886,6.59,75.6,22.3
1082,5.56,63.9,22.4,,,,,,,,,1058,4.14,47.2,22,,,,,,,,,888,6.63,76.1,22.3
